page1:,新星小区,西湖西湖三墩三墩街,新星小区 刚需户型 户型正气南北通透，采光无遮挡。,190,万35823元/㎡,3室1厅1卫,53㎡,共5层,
page1:,崇化小区,"萧山城厢崇明路,近崇化路",新出带院子赠送50方崇化小区 精装可拎包入住 有储藏室满五年,193,万33659元/㎡,3室1厅1卫,57.3㎡,共5层,"['近地铁', '配套成熟', '环境优美']"
page1:,建电新村,江干凯旋/采荷庆春东路111-139号,采荷一小本部 临近地铁 标准两房主卧朝南次卧朝北西边套,240,万52644元/㎡,2室1厅1卫,45.6㎡,共5层,['南北通透']
page1:,新星小区,西湖西湖三墩三墩街,新星小区  全明边套 自住装修 户型正气   楼层 采光充足,190,万36958元/㎡,2室1厅1卫,51.4㎡,共5层,
page1:,仓基新村,拱墅湖墅湖墅南路,户型方正.，装修清爽采光好，小区环境优美，安全性高,255,万45455元/㎡,3室1厅1卫,56.1㎡,中层(共7层),
page1:,邱山大街411号小区,余杭临平邱山大街411号,急甩！一号线临平地铁口900米！三证齐全！首付15万！精装修,86,万17166元/㎡,3室2厅2卫,50.1㎡,共5层,"['近地铁', '安全性高', '交通便利']"
page1:,庆丰新村,西湖黄龙西溪路394号,新村 新出两室小户型 采光好 客厅有窗,250,万50649元/㎡,2室1厅1卫,49.4㎡,低层(共6层),
page1:,双菱小区,江干凯旋/采荷双菱路33-37号,"采荷1小,新上2房,中间楼层,采光佳,小区口是2号线地铁口",258,万55688元/㎡,2室1厅1卫,46.3㎡,低层(共7层),['拎包入住']
page1:,濮家新村,江干闸弄口秋涛北路385号,（真实保真）濮家新村 不占学籍 带院子 精装修 近地铁,240,万42652元/㎡,2室1厅1卫,56.3㎡,低层(共6层),"['近地铁', '品质小区', '繁华地段']"
page1:,树园小区,下城建国路建国北路426号,自住标准两房 送30万精装修 带30方大院子 南北双开门,240,万49161元/㎡,2室2厅1卫,48.8㎡,低层(共6层),
page1:,碧桂园越溪府(别墅),"萧山临浦东藩路,近临北路",碧桂园越溪府！双拼别墅带花园！近地铁口！高品质小区！外地可买,92.4,万16800元/㎡,3室2厅2卫,55㎡,共2层,"['近地铁', '配套成熟', '繁华地段']"
page1:,绿苑公寓,余杭临平邱山大街344号,首付可20万，精装送车位，无需社保，家具家电全送，一线江景房,79,万15800元/㎡,3室2厅2卫,50㎡,共5层,"['近地铁', '送家电', '送车位']"
page1:,西江塘小区,萧山开发区劳动路,样板房装修 三房两厅拎包入住 可落户上学 看房方便来电立减9,68,万12973元/㎡,3室2厅2卫,52.4㎡,共4层,"['安全性高', '近地铁', '品质小区']"
page1:,宋都相贤府(别墅),"钱塘新区义蓬向阳路,近横一线",7号线地铁口的精装别墅！送阁楼！可落户上学！产证清晰外地可买,73.5,万16334元/㎡,3室2厅2卫,45㎡,共3层,"['近地铁', '配套成熟', '繁华地段']"
page1:,金盛花苑,余杭临平世纪大道33号,房东急售 来电立减5万 无需社保 外地人可买 精装修带车位,95,万17273元/㎡,3室2厅1卫,55㎡,共5层,
page1:,十亩田家园,上城复兴化仙桥路27号,必看好房 近地铁 两房朝南 中间楼层！自住装修 很清爽,190,万36915元/㎡,2室1厅1卫,51.5㎡,共5层,
page1:,新星小区,西湖西湖三墩三墩街,新上好房，西湖区 低总价好房 中间楼层 配套齐全,188,万35512元/㎡,2室1厅1卫,52.9㎡,共5层,
page1:,六眼井,"滨江西兴固陵路,近青年路",必看好房满五年，春晖学区 ，租金4000南北通透全明两房,199,万33452元/㎡,2室2厅1卫,59.5㎡,共5层,
page1:,朝晖五小区,下城朝晖河东路172号,西湖文化广场双地鉄口 南北两房 厨卫朝北全明 南北通透诚心售,198,万38687元/㎡,2室1厅1卫,51.2㎡,共5层,"['繁华地段', '近地铁', '配套成熟']"
page1:,北景莲趣苑,下城北景园回龙路162号,满5年没有税，地铁口0距离，拎包入住，上9年景成实验，近银泰,195,万32615元/㎡,2室1厅1卫,59.8㎡,共5层,"['配套成熟', '近地铁', '全南户型']"
page1:,昆仑水印城,滨江长河滨盛路2242号,水印城新上！！读闻涛！不占学籍！户口已迁出！,256,万57632元/㎡,3室2厅2卫,44.4㎡,低层(共18层),"['繁华地段', '品质小区', '安全性高']"
page1:,朝晖四小区,下城朝晖新市街41号,院子靠河边的，餐饮店老板，着急资金周转，低于市场单价5000,180,万35957元/㎡,2室1厅1卫,50.1㎡,低层(共7层),['南北通透']
page1:,翠苑五区,西湖翠苑文二路418号,南北通透两房，自住精装修，采用材料环保安全，近地铁，近学校，,180,万33765元/㎡,2室1厅1卫,53.3㎡,低层(共7层),"['品质小区', '次新小区', '配套成熟']"
